"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Artinite","Artinite","Italy"
"Artroeite","Artroeite","USA"
"Artsmithite","Artsmithite","USA"
"Arupite","Arupite","Brazil"
"Arzrunite","Arzrunite","Chile"
"Asagiite","Asagiite","Japan"
"Asbecasite","Asbecasite","Switzerland"
"Asbolane","Asbolane","?"
"Aschamalmite","Aschamalmite","Austria"
"Ashburtonite","Ashburtonite","Australia"
"Ashcroftine-(Y)","Ashcroftine-(Y)","Denmark (Greenland)"
"Ashoverite","Ashoverite","United Kingdom"
"Asimowite","Asimowite","China / Chile (meteorite)"
"Asisite","Asisite","Namibia"
"Åskagenite-(Nd)","Askagenite-(Nd)","Sweden"
"Aspedamite","Aspedamite","Norway"
"Aspidolite","Aspidolite","Japan"
"Asselbornite","Asselbornite","Germany"
"Astrocyanite-(Ce)","Astrocyanite-(Ce)","Democratic Republic of the Congo"
"Astrophyllite","Astrophyllite","Norway"
"Atacamite","Atacamite","Chile"
"Atelestite","Atelestite","Germany"
"Atelisite-(Y)","Atelisite-(Y)","Norway"
"Atencioite","Atencioite","Brazil"
"Athabascaite","Athabascaite","Canada"
"Atheneite","Atheneite","Brazil"
"Atlasovite","Atlasovite","Russia"
"Atokite","Atokite","South Africa"
"Attakolite","Attakolite","Sweden"
"Attikaite","Attikaite","Greece"
"Aubertite","Aubertite","Chile"
"Auerbakhite","Auerbakhite","Russia"
"Augelite","Augelite","Sweden"
"Augite","Augite","?"
"Auriacusite","Auriacusite","USA"
"Aurichalcite","Aurichalcite","Russia"
"Auricupride","Auricupride","Russia"
"Aurihydrargyrumite","Aurihydrargyrumite","Japan"
"Aurivilliusite","Aurivilliusite","USA"
"Aurorite","Aurorite","USA"
"Auroselenide","Auroselenide","Russia"
"Aurostibite","Aurostibite","Canada"
"Austinite","Austinite","USA"
"Autunite","Autunite","France"
"Avdeevite","Avdeevite","Myanmar"
"Avdoninite","Avdoninite","Russia"
"Averievite","Averievite","Russia"
"Avicennite","Avicennite","Uzbekistan"
"Avogadrite","Avogadrite","Italy"
"Awaruite","Awaruite","New Zealand"
"Axelite","Axelite","Russia"
"Axinite-(Fe)","Axinite-(Fe)","France"
"Axinite-(Mg)","Axinite-(Mg)","Tanzania"
"Axinite-(Mn)","Axinite-(Mn)","Germany"
"Azoproite","Azoproite","Russia"
"Azurite","Azurite","France"
"Babánekite","Babanekite","Czech Republic"
"Babefphite","Babefphite","Russia"
"Babingtonite","Babingtonite","Norway"
"Babkinite","Babkinite","Russia"
"Backite","Backite","USA"
"Badakhshanite-(Y)","Badakhshanite-(Y)","Tajikistan"
"Badalovite","Badalovite","Russia"
"Baddeleyite","Baddeleyite","Sri Lanka"
"Badengzhuite","Badengzhuite","China"
"Bafertisite","Bafertisite","China"
"Baghdadite","Baghdadite","Iraq"
"Bahariyaite","Bahariyaite","Egypt"
"Bahianite","Bahianite","Brazil"
"Baiamareite","Baiamareite","Romania"
"Baileychlore","Baileychlore","Australia"
"Bainbridgeite-(NdCe)","Bainbridgeite-(NdCe)","Canada"
"Bainbridgeite-(YCe)","Bainbridgeite-(YCe)","Canada"
"Bairdite","Bairdite","USA"
"Bakakinite","Bakakinite","Russia"
"Bakhchisaraitsevite","Bakhchisaraitsevite","Russia"
"Baksanite","Baksanite","Russia"
"Balangeroite","Balangeroite","Italy"
"Balestraite","Balestraite","Italy"
"Balićžunićite","Baliczunicite","Italy"
"Balipholite","Balipholite","China"
"Balkanite","Balkanite","Bulgaria"
"Balliranoite","Balliranoite","Italy"
"Balyakinite","Balyakinite","Russia"
"Bambollaite","Bambollaite","Mexico"
"Bamfordite","Bamfordite","Australia"
"Banalsite","Banalsite","United Kingdom"
"Bandylite","Bandylite","Chile"
"Bannermanite","Bannermanite","El Salvador"
"Bannisterite","Bannisterite","United Kingdom"
"Baotite","Baotite","China"
"Barahonaite-(Al)","Barahonaite-(Al)","Spain"
"Barahonaite-(Fe)","Barahonaite-(Fe)","Spain"
"Bararite","Bararite","India"
"Baratovite","Baratovite","Tajikistan"
"Barberiite","Barberiite","Italy"
"Barbosalite","Barbosalite","Brazil"
"Barentsite","Barentsite","Russia"
"Bariandite","Bariandite","Gabon"
"Barićite","Baricite","Canada"
"Barikaite","Barikaite","Iran"
"Barioferrite","Barioferrite","Israel"
"Bario-olgite","Bario-olgite","Russia"
"Bario-orthojoaquinite","Bario-orthojoaquinite","USA"
"Barioperovskite","Barioperovskite","USA"
"Bariopharmacoalumite","Bariopharmacoalumite","France"
"Bariopharmacosiderite","Bariopharmacosiderite","Germany"
"Bariosincosite","Bariosincosite","Australia"
"Barlowite","Barlowite","Australia"
"Barnesite","Barnesite","USA"
"Barquillite","Barquillite","Spain"
"Barrerite","Barrerite","Italy"
"Barringerite","Barringerite","Bolivia"
"Barroisite","Barroisite","Austria"
"Barrotite","Barrotite","France"
"Barrydawsonite-(Y)","Barrydawsonite-(Y)","Canada"
"Barstowite","Barstowite","United Kingdom"
"Bartelkeite","Bartelkeite","Namibia"
"Bartonite","Bartonite","USA"
"Barwoodite","Barwoodite","USA"
"Barylite","Barylite","Sweden"
"Barysilite","Barysilite","Sweden"
"Baryte","Baryte","?"
"Barytocalcite","Barytocalcite","United Kingdom"
"Barytolamprophyllite","Barytolamprophyllite","Russia"
"Bassanite","Bassanite","Italy"
"Bassetite","Bassetite","United Kingdom"
"Bassoite","Bassoite","Italy"
"Bastnäsite-(Ce)","Bastnasite-(Ce)","Sweden"
"Bastnäsite-(La)","Bastnasite-(La)","Russia"
"Bastnäsite-(Nd)","Bastnasite-(Nd)","Norway"
"Bastnäsite-(Y)","Bastnasite-(Y)","Kazakhstan"
"Batagayite","Batagayite","Russia"
"Batievaite-(Y)","Batievaite-(Y)","Russia"
"Batiferrite","Batiferrite","Germany"
"Batisite","Batisite","Russia"
"Batisivite","Batisivite","Russia"
"Batoniite","Batoniite","Italy"
"Baumhauerite","Baumhauerite","Switzerland"
"Baumhauerite II","Baumhauerite II","Switzerland"
"Baumoite","Baumoite","Australia"
"Baumstarkite","Baumstarkite","Peru"
"Bauranoite","Bauranoite","Russia"
"Bavenite","Bavenite","Italy"
"Bavsiite","Bavsiite","Canada"
"Bayerite","Bayerite","Israel"
"Bayldonite","Bayldonite","United Kingdom"
"Bayleyite","Bayleyite","USA"
"Baylissite","Baylissite","Switzerland"
"Bazhenovite","Bazhenovite","Russia"
"Bazirite","Bazirite","United Kingdom"
"Bazzite","Bazzite","Italy"
"Bearsite","Bearsite","Kazakhstan"
"Bearthite","Bearthite","Italy / Switzerland"
"Beaverite-(Cu)","Beaverite-(Cu)","USA"
"Beaverite-(Zn)","Beaverite-(Zn)","Japan"
"Bechererite","Bechererite","USA"
"Beckettite","Beckettite","Mexico (meteorite)"
"Becquerelite","Becquerelite","Democratic Republic of the Congo"
"Bederite","Bederite","Argentina"
"Beershevaite","Beershevaite","Israel"
"Béhierite","Behierite","Madagascar"
"Behoite","Behoite","USA"
"Běhounekite","Behounekite","Czech Republic"
"Beidellite","Beidellite","USA"
"Belakovskiite","Belakovskiite","USA"
"Belendorffite","Belendorffite","Germany"
"Belkovite","Belkovite","Russia"
"Bellbergite","Bellbergite","Germany"
"Bellidoite","Bellidoite","Czech Republic"
"Bellingerite","Bellingerite","Chile"
"Belloite","Belloite","Chile"
"Belogubite","Belogubite","Russia"
"Belomarinaite","Belomarinaite","Russia"
"Belousovite","Belousovite","Russia"
"Belovite-(Ce)","Belovite-(Ce)","Russia"
"Belovite-(La)","Belovite-(La)","Russia"
"Belyankinite","Belyankinite","Russia"
"Bementite","Bementite","USA"
"Benauite","Benauite","Germany"
"Benavidesite","Benavidesite","Peru"
"Bendadaite","Bendadaite","Portugal"
"Benitoite","Benitoite","USA"
"Benjaminite","Benjaminite","USA"
"Benleonardite","Benleonardite","Mexico"
"Bennesherite","Bennesherite","Israel"
"Benstonite","Benstonite","USA"
"Bentorite","Bentorite","Israel"
"Benyacarite","Benyacarite","Argentina"
"Beraunite","Beraunite","Czech Republic"
"Berborite","Berborite","Russia"
"Berdesinskiite","Berdesinskiite","Kenya"
"Berezanskite","Berezanskite","Tajikistan"
"Bergenite","Bergenite","Germany"
"Bergslagite","Bergslagite","Sweden"
"Berlinite","Berlinite","Sweden"
"Bermanite","Bermanite","USA"
"Bernalite","Bernalite","Australia"
"Bernardevansite","Bernardevansite","Bolivia"
"Bernardite","Bernardite","North Macedonia"
"Bernarlottiite","Bernarlottiite","Italy"
"Berndtite","Berndtite","Bolivia"
"Berryite","Berryite","USA"
"Berthierine","Berthierine","France"
"Berthierite","Berthierite","France"
"Bertossaite","Bertossaite","Rwanda"
"Bertrandite","Bertrandite","France"
"Beryl","Beryl","unknown"
"Beryllite","Beryllite","Russia"
"Beryllocordierite-Na","Beryllocordierite-Na","Poland"
"Beryllonite","Beryllonite","USA"
