"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Roaldite","Roaldite","Australia"
"Robertsite","Robertsite","USA"
"Robinsonite","Robinsonite","USA"
"Rockbridgeite","Rockbridgeite","USA"
"Rodalquilarite","Rodalquilarite","Spain"
"Rodolicoite","Rodolicoite","Italy"
"Roeblingite","Roeblingite","USA"
"Roedderite","Roedderite","Azerbaijan"
"Rogermitchellite","Rogermitchellite","Canada"
"Roggianite","Roggianite","Italy"
"Rohaite","Rohaite","Denmark (Greenland)"
"Rokühnite","Rokuhnite","Germany"
"Rollandite","Rollandite","France"
"Romanèchite","Romanechite","France"
"Romanorlovite","Romanorlovite","Russia"
"Romarchite","Romarchite","Canada"
"Römerite","Romerite","Germany"
"Rondorfite","Rondorfite","Germany"
"Rongibbsite","Rongibbsite","USA"
"Ronneburgite","Ronneburgite","Germany"
"Ronpetersonite","Ronpetersonite","Canada"
"Röntgenite-(Ce)","Rontgenite-(Ce)","Denmark (Greenland)"
"Rooseveltite","Rooseveltite","Bolivia"
"Roquesite","Roquesite","France"
"Rorisite","Rorisite","Russia"
"Rosasite","Rosasite","Italy"
"Roscherite","Roscherite","Germany"
"Roscoelite","Roscoelite","USA"
"Roselite","Roselite","Germany"
"Rosemaryite","Rosemaryite","USA"
"Rosenbergite","Rosenbergite","Italy"
"Rosenbuschite","Rosenbuschite","Norway"
"Rosenhahnite","Rosenhahnite","USA"
"Roshchinite","Roshchinite","Kazakhstan"
"Rosiaite","Rosiaite","Italy"
"Rosickýite","Rosickyite","Czech Republic"
"Rosièresite","Rosieresite","France"
"Rossiantonite","Rossiantonite","Venezuela"
"Rossite","Rossite","USA"
"Rösslerite","Rosslerite","Germany"
"Rossmanite","Rossmanite","Czech Republic"
"Rossovskyite","Rossovskyite","Mongolia"
"Rostite","Rostite","Czech Republic"
"Roterbärite","Roterbarite","Germany"
"Rouaite","Rouaite","France"
"Roubaultite","Roubaultite","Democratic Republic of the Congo"
"Roumaite","Roumaite","Guinea"
"Rouseite","Rouseite","Sweden"
"Routhierite","Routhierite","France"
"Rouvilleite","Rouvilleite","Canada"
"Rouxelite","Rouxelite","Italy"
"Roweite","Roweite","USA"
"Rowlandite-(Y)","Rowlandite-(Y)","USA"
"Rowleyite","Rowleyite","USA"
"Roxbyite","Roxbyite","Australia"
"Roymillerite","Roymillerite","Namibia"
"Rozenite","Rozenite","Poland"
"Rozhdestvenskayaite-(Zn)","Rozhdestvenskayaite-(Zn)","Mexico"
"Rruffite","Rruffite","Chile"
"Ruarsite","Ruarsite","China"
"Rubicline","Rubicline","Italy"
"Rubinite","Rubinite","Italy (meteorite) / Mexico (meteorite)"
"Rucklidgeite","Rucklidgeite","Russia"
"Rudabányaite","Rudabanyaite","Hungary"
"Rudashevskyite","Rudashevskyite","Azerbaijan (meteorite)"
"Rudenkoite","Rudenkoite","Russia"
"Rüdlingerite","Rudlingerite","Switzerland / Italy"
"Rudolfhermannite","Rudolfhermannite","Russia"
"Ruifrancoite","Ruifrancoite","Brazil"
"Ruitenbergite","Ruitenbergite","Canada"
"Ruizhongite","Ruizhongite","China"
"Ruizite","Ruizite","USA"
"Rumoiite","Rumoiite","Japan"
"Rumseyite","Rumseyite","United Kingdom"
"Rusakovite","Rusakovite","Kazakhstan"
"Rusinovite","Rusinovite","Russia"
"Russellite","Russellite","United Kingdom"
"Russoite","Russoite","Italy"
"Rustenburgite","Rustenburgite","South Africa"
"Rustumite","Rustumite","United Kingdom"
"Ruthenarsenite","Ruthenarsenite","Papua New Guinea"
"Rutheniridosmine","Rutheniridosmine","Japan"
"Ruthenium","Ruthenium","Japan"
"Rutherfordine","Rutherfordine","Tanzania"
"Rutile","Rutile","Spain"
"Ryabchikovite","Ryabchikovite","Russia"
"Rynersonite","Rynersonite","USA"
"Saamite","Saamite","Russia"
"Sabatierite","Sabatierite","Czech Republic"
"Sabelliite","Sabelliite","Italy"
"Sabieite","Sabieite","South Africa"
"Sabinaite","Sabinaite","Canada"
"Sabugalite","Sabugalite","Portugal"
"Saccoite","Saccoite","South Africa"
"Sacrofanite","Sacrofanite","Italy"
"Sadanagaite","Sadanagaite","Japan"
"Saddlebackite","Saddlebackite","Australia"
"Safflorite","Safflorite","Germany"
"Sahamalite-(Ce)","Sahamalite-(Ce)","USA"
"Sahlinite","Sahlinite","Sweden"
"Sailaufite","Sailaufite","Germany"
"Sainfeldite","Sainfeldite","France"
"Sakhaite","Sakhaite","Russia"
"Sakuraiite","Sakuraiite","Japan"
"Salammoniac","Salammoniac","Italy"
"Saléeite","Saleeite","Democratic Republic of the Congo / Germany"
"Salesite","Salesite","Chile"
"Saliotite","Saliotite","Spain"
"Saltonseaite","Saltonseaite","USA"
"Salzburgite","Salzburgite","Austria"
"Samaniite","Samaniite","Japan"
"Samarskite-(Y)","Samarskite-(Y)","Russia"
"Samarskite-(Yb)","Samarskite-(Yb)","USA"
"Samfowlerite","Samfowlerite","USA"
"Sampleite","Sampleite","Chile"
"Samraite","Samraite","Israel"
"Samsonite","Samsonite","Germany"
"Samuelsonite","Samuelsonite","USA"
"Sanbornite","Sanbornite","USA"
"Sanderite","Sanderite","Germany"
"Saneroite","Saneroite","Italy"
"Sangenaroite","Sangenaroite","Peru"
"Sanguite","Sanguite","Russia"
"Sanidine","Sanidine","Germany"
"Sanjuanite","Sanjuanite","Argentina"
"Sanmartinite","Sanmartinite","Argentina"
"Sanrománite","Sanromanite","Chile"
"Santabarbaraite","Santabarbaraite","Italy"
"Santaclaraite","Santaclaraite","USA"
"Santafeite","Santafeite","USA"
"Santanaite","Santanaite","Chile"
"Santarosaite","Santarosaite","Chile"
"Santite","Santite","Italy"
"Saponite","Saponite","United Kingdom"
"Sapozhnikovite","Sapozhnikovite","Russia"
"Sapphirine","Sapphirine","Denmark (Greenland)"
"Sarabauite","Sarabauite","Malaysia"
"Saranchinaite","Saranchinaite","Russia"
"Saranovskite","Saranovskite","Russia"
"Sarcolite","Sarcolite","Italy"
"Sarcopside","Sarcopside","Poland"
"Sardashtite","Sardashtite","Iran"
"Sardignaite","Sardignaite","Italy"
"Sarkinite","Sarkinite","Sweden"
"Sarmientite","Sarmientite","Argentina"
"Sarrabusite","Sarrabusite","Italy"
"Sarrochite","Sarrochite","Italy"
"Sartorite","Sartorite","Switzerland"
"Saryarkite-(Y)","Saryarkite-(Y)","Kazakhstan"
"Sasaite","Sasaite","South Africa"
"Sassite","Sassite","Israel"
"Sassolite","Sassolite","Italy"
"Satimolite","Satimolite","Kazakhstan"
"Satpaevite","Satpaevite","Kazakhstan"
"Satterlyite","Satterlyite","Canada"
"Sauconite","Sauconite","USA"
"Savelievaite","Savelievaite","Russia"
"Sayrite","Sayrite","Democratic Republic of the Congo"
"Sazhinite-(Ce)","Sazhinite-(Ce)","Russia"
"Sazhinite-(La)","Sazhinite-(La)","Namibia"
"Sazykinaite-(Y)","Sazykinaite-(Y)","Russia"
"Sbacchiite","Sbacchiite","Italy"
"Sborgite","Sborgite","Italy"
"Scacchite","Scacchite","Italy"
"Scainiite","Scainiite","Italy"
"Scandiobabingtonite","Scandiobabingtonite","Italy"
"Scandio-winchite","Scandio-winchite","Poland"
"Scarbroite","Scarbroite","United Kingdom"
"Scawtite","Scawtite","United Kingdom"
"Scenicite","Scenicite","USA"
"Schachnerite","Schachnerite","Germany"
"Schafarzikite","Schafarzikite","Slovakia"
"Schäferite","Schaferite","Germany"
"Schairerite","Schairerite","USA"
"Schallerite","Schallerite","USA"
"Schapbachite","Schapbachite","Germany"
"Schaurteite","Schaurteite","Namibia"
"Scheelite","Scheelite","Sweden"
"Schertelite","Schertelite","Australia"
"Scheuchzerite","Scheuchzerite","Switzerland"
"Schiavinatoite","Schiavinatoite","Madagascar"
"Schieffelinite","Schieffelinite","USA"
"Schindlerite","Schindlerite","USA"
"Schizolite","Schizolite","South Africa"
"Schlegelite","Schlegelite","Germany"
"Schlemaite","Schlemaite","Germany"
"Schlossmacherite","Schlossmacherite","Chile"
"Schlüterite-(Y)","Schluterite-(Y)","Norway"
"Schmidite","Schmidite","Germany"
"Schmiederite","Schmiederite","Argentina"
"Schmitterite","Schmitterite","Mexico"
"Schneebergite","Schneebergite","Germany"
"Schneiderhöhnite","Schneiderhohnite","Namibia"
"Schoderite","Schoderite","USA"
"Schoenfliesite","Schoenfliesite","USA"
"Schoepite","Schoepite","Democratic Republic of the Congo"
"Schöllhornite","Schollhornite","USA (meteorite)"
"Scholzite","Scholzite","Germany"
"Schoonerite","Schoonerite","USA"
"Schorl","Schorl","Germany"
"Schorlomite","Schorlomite","USA"
"Schreibersite","Schreibersite","Slovakia (meteorite)"
"Schreyerite","Schreyerite","Kenya"
"Schröckingerite","Schrockingerite","Czech Republic"
"Schubnelite","Schubnelite","Gabon"
"Schuetteite","Schuetteite","USA"
"Schuilingite-(Nd)","Schuilingite-(Nd)","Democratic Republic of the Congo"
"Schulenbergite","Schulenbergite","Germany"
"Schüllerite","Schullerite","Germany"
"Schultenite","Schultenite","Namibia"
"Schumacherite","Schumacherite","Germany"
"Schwartzembergite","Schwartzembergite","Chile"
"Schwertmannite","Schwertmannite","Finland"
"Sclarite","Sclarite","USA"
"Scolecite","Scolecite","Iceland"
"Scordariite","Scordariite","Italy"
"Scorodite","Scorodite","Germany"
"Scorticoite","Scorticoite","Italy"
"Scorzalite","Scorzalite","Brazil"
"Scotlandite","Scotlandite","United Kingdom"
"Scottyite","Scottyite","South Africa"
"Scrutinyite","Scrutinyite","USA"
"Seaborgite","Seaborgite","USA"
"Seamanite","Seamanite","USA"
"Searlesite","Searlesite","USA"
"Sederholmite","Sederholmite","Finland"
"Sedovite","Sedovite","Kazakhstan"
"Seeligerite","Seeligerite","Chile"
"Seelite","Seelite","France / Iran"
"Segelerite","Segelerite","USA"
"Segerstromite","Segerstromite","Chile"
"Segnitite","Segnitite","Australia"
"Seidite-(Ce)","Seidite-(Ce)","Russia"
"Seidozerite","Seidozerite","Russia"
"Seifertite","Seifertite","India (meteorite)"
"Seinäjokite","Seinajokite","Finland"
"Sejkoraite-(Y)","Sejkoraite-(Y)","Czech Republic"
"Sekaninaite","Sekaninaite","Czech Republic"
"Selenium","Selenium","USA"
"Selenojalpaite","Selenojalpaite","Sweden"
"Selenojunoite","Selenojunoite","Russia"
"Selenolaurite","Selenolaurite","Russia"
"Selenopolybasite","Selenopolybasite","USA"
"Selenostephanite","Selenostephanite","Russia"
"Seligmannite","Seligmannite","Switzerland"
"Selivanovaite","Selivanovaite","Russia"
"Sellaite","Sellaite","France"
"Selsurtite","Selsurtite","Russia"
"Selwynite","Selwynite","Australia"
"Semenovite-(Ce)","Semenovite-(Ce)","Denmark (Greenland)"
"Semseyite","Semseyite","Romania"
"Senaite","Senaite","Brazil"
"Senandorite","Senandorite","Romania"
"Senarmontite","Senarmontite","Algeria"
"Senegalite","Senegalite","Senegal"
"Sengierite","Sengierite","Democratic Republic of the Congo"
"Senkevichite","Senkevichite","Tajikistan"
"Sepiolite","Sepiolite","Italy"
"Serandite","Serandite","Guinea"
"Serendibite","Serendibite","Sri Lanka"
"Sergeevite","Sergeevite","Russia"
"Sergevanite","Sergevanite","Russia"
"Sergeysmirnovite","Sergeysmirnovite","Russia"
"Serpierite","Serpierite","Greece"
"Serrabrancaite","Serrabrancaite","Brazil"
"Sewardite","Sewardite","Namibia"
"Shabaite-(Nd)","Shabaite-(Nd)","Democratic Republic of the Congo"
"Shabynite","Shabynite","Russia"
"Shadlunite","Shadlunite","Russia"
"Shafranovskite","Shafranovskite","Russia"
"Shagamite","Shagamite","Israel"
"Shakhdaraite-(Y)","Shakhdaraite-(Y)","Tajikistan"
"Shakhovite","Shakhovite","Kyrgyzstan"
"Shandite","Shandite","Australia"
"Shannonite","Shannonite","USA"
"Sharpite","Sharpite","Democratic Republic of the Congo"
"Sharyginite","Sharyginite","Germany"
"Shasuite","Shasuite","Israel"
"Shattuckite","Shattuckite","USA"
"Shcherbakovite","Shcherbakovite","Russia"
"Shcherbinaite","Shcherbinaite","Russia"
"Shchurovskyite","Shchurovskyite","Russia"
"Sheldrickite","Sheldrickite","Canada"
"Shenzhuangite","Shenzhuangite","China (meteorite)"
"Sherwoodite","Sherwoodite","USA"
"Shibkovite","Shibkovite","Tajikistan"
"Shigaite","Shigaite","Japan"
"Shijiangshanite","Shijiangshanite","China"
"Shilovite","Shilovite","Chile"
"Shimazakiite","Shimazakiite","Japan"
"Shimenite","Shimenite","China"
"Shinarumpite","Shinarumpite","USA"
"Shinichengite","Shinichengite","China"
"Shinkolobweite","Shinkolobweite","Democratic Republic of the Congo"
"Shirokshinite","Shirokshinite","Russia"
"Shirozulite","Shirozulite","Japan"
"Shkatulkalite","Shkatulkalite","Russia"
"Shlykovite","Shlykovite","Russia"
"Shomiokite-(Y)","Shomiokite-(Y)","Russia"
"Shortite","Shortite","USA"
"Shosanbetsuite","Shosanbetsuite","Japan"
"Shuangfengite","Shuangfengite","China"
"Shubnikovite","Shubnikovite","Russia"
"Shuiskite-(Cr)","Shuiskite-(Cr)","Russia"
"Shuiskite-(Mg)","Shuiskite-(Mg)","Russia"
"Shulamitite","Shulamitite","Israel"
"Shumwayite","Shumwayite","USA"
"Shuvalovite","Shuvalovite","Russia"
"Sibirskite","Sibirskite","Russia"
"Sicherite","Sicherite","Switzerland"
"Siderazot","Siderazot","Italy"
"Siderite","Siderite","unknown"
"Sideronatrite","Sideronatrite","Chile"
"Siderophyllite","Siderophyllite","USA"
"Siderotil","Siderotil","Slovenia"
"Sidorenkite","Sidorenkite","Russia"
"Sidorovite","Sidorovite","Russia"
"Sidpietersite","Sidpietersite","Namibia"
"Sidwillite","Sidwillite","USA"
"Siegenite","Siegenite","Germany"
"Sieleckiite","Sieleckiite","Australia"
"Sigismundite","Sigismundite","Italy"
"Sigloite","Sigloite","Bolivia"
"Siidraite","Siidraite","Australia"
"Silesiaite","Silesiaite","Poland"
"Silhydrite","Silhydrite","USA"
"Silicocarnotite","Silicocarnotite","Israel"
"Silicon","Silicon","Cuba"
"Silinaite","Silinaite","Canada"
"Sillénite","Sillenite","Mexico"
"Sillimanite","Sillimanite","USA"
"Silver","Silver","unknown"
"Silvialite","Silvialite","Australia"
"Simferite","Simferite","Ukraine"
"Simmonsite","Simmonsite","USA"
"Simonellite","Simonellite","Italy"
"Simonite","Simonite","North Macedonia"
"Simonkolleite","Simonkolleite","Germany"
"Simplotite","Simplotite","USA"
"Simpsonite","Simpsonite","Australia"
"Sincosite","Sincosite","Peru"
"Sinhalite","Sinhalite","Sri Lanka"
"Sinjarite","Sinjarite","Iraq"
"Sinkankasite","Sinkankasite","USA"
"Sinnerite","Sinnerite","Switzerland"
"Sinoite","Sinoite","Pakistan"
"Sitinakite","Sitinakite","Russia"
"Siudaite","Siudaite","Russia"
"Siwaqaite","Siwaqaite","Jordan"
"Škáchaite","Skachaite","Czech Republic"
"Skaergaardite","Skaergaardite","Denmark (Greenland)"
"Skinnerite","Skinnerite","Denmark (Greenland)"
"Skippenite","Skippenite","Canada"
"Sklodowskite","Sklodowskite","Democratic Republic of the Congo"
"Skorpionite","Skorpionite","Namibia"
"Skutterudite","Skutterudite","Norway"
"Slavíkite","Slavikite","Czech Republic"
"Slavkovite","Slavkovite","Czech Republic"
"Slawsonite","Slawsonite","USA"
"Šlikite","Slikite","Czech Republic"
"Sluzhenikinite","Sluzhenikinite","Russia"
"Slyudyankaite","Slyudyankaite","Russia"
"Smamite","Smamite","France"
"Smirnite","Smirnite","Armenia"
"Smirnovskite","Smirnovskite","Russia"
"Smithite","Smithite","Switzerland"
"Smithsonite","Smithsonite","United Kingdom"
"Smolyaninovite","Smolyaninovite","Russia"
"Smrkovecite","Smrkovecite","Czech Republic"
"Smythite","Smythite","USA"
"Sobolevite","Sobolevite","Russia"
"Sobolevskite","Sobolevskite","Russia"
"Sodalite","Sodalite","Denmark (Greenland)"
"Soddyite","Soddyite","Democratic Republic of the Congo"
"Sofiite","Sofiite","Russia"
"Sogdianite","Sogdianite","Tajikistan"
"Söhngeite","Sohngeite","Namibia"
"Sokolovaite","Sokolovaite","Tajikistan"
"Solongoite","Solongoite","Russia"
"Somersetite","Somersetite","United Kingdom"
"Sonolite","Sonolite","Japan"
"Sonoraite","Sonoraite","Mexico"
"Sopcheite","Sopcheite","Russia"
"Sorbyite","Sorbyite","Canada"
"Sørensenite","Sorensenite","Denmark (Greenland)"
"Sorosite","Sorosite","Russia"
"Sosedkoite","Sosedkoite","Russia"
"Součekite","Soucekite","Czech Republic"
"Souzalite","Souzalite","Brazil"
"Spadaite","Spadaite","Italy"
"Spaltiite","Spaltiite","Switzerland"
"Spangolite","Spangolite","USA"
"Spencerite","Spencerite","Canada"
"Sperrylite","Sperrylite","Canada"
"Spertiniite","Spertiniite","Canada"
"Spessartine","Spessartine","Germany"
"Sphaerobertrandite","Sphaerobertrandite","Russia / Norway"
"Sphaerobismoite","Sphaerobismoite","Germany"
"Sphalerite","Sphalerite","unknown"
"Spheniscidite","Spheniscidite","Antarctica"
"Spherocobaltite","Spherocobaltite","Germany"
"Spinel","Spinel","unknown"
"Spionkopite","Spionkopite","Canada"
"Spiridonovite","Spiridonovite","USA"
"Spiroffite","Spiroffite","Mexico"
"Spodumene","Spodumene","Sweden"
"Spriggite","Spriggite","Australia"
"Springcreekite","Springcreekite","Australia"
"Spryite","Spryite","Peru"
"Spurrite","Spurrite","Mexico"
"Srebrodolskite","Srebrodolskite","Russia"
"Šreinite","Sreinite","Czech Republic"
"Srilankite","Srilankite","Sri Lanka"
"Stalderite","Stalderite","Switzerland"
"Staněkite","Stanekite","Namibia / France"
"Stanevansite","Stanevansite","USA"
"Stanfieldite","Stanfieldite","USA"
"Stangersite","Stangersite","Czech Republic"
"Stanleyite","Stanleyite","Peru"
"Stannite","Stannite","United Kingdom"
"Stannoidite","Stannoidite","Japan"
"Stannopalladinite","Stannopalladinite","Russia"
"Starkeyite","Starkeyite","USA"
"Staročeskéite","Staroceskeite","Czech Republic"
"Starovaite","Starovaite","Russia"
"Staurolite","Staurolite","unknown"
"Stavelotite-(La)","Stavelotite-(La)","Belgium"
"Steacyite","Steacyite","Canada"
"Steedeite","Steedeite","Canada"
"Steenstrupine-(Ce)","Steenstrupine-(Ce)","Denmark (Greenland)"
"Stefanweissite","Stefanweissite","Germany"
"Steigerite","Steigerite","USA"
"Steinhardtite","Steinhardtite","Russia (meteorite)"
"Steinmetzite","Steinmetzite","Germany"
"Steklite","Steklite","Russia"
"Stellerite","Stellerite","Russia"
"Stenhuggarite","Stenhuggarite","Sweden"
"Stenonite","Stenonite","Denmark (Greenland)"
"Stepanovite","Stepanovite","Russia"
"Stephanite","Stephanite","Germany"
"Štěpite","Stepite","Czech Republic"
"Stercorite","Stercorite","Namibia"
"Stergiouite","Stergiouite","Greece"
"Sterlinghillite","Sterlinghillite","USA"
"Sternbergite","Sternbergite","Czech Republic"
"Steropesite","Steropesite","Italy"
"Sterryite","Sterryite","Canada"
"Stetefeldtite","Stetefeldtite","USA"
"Stetindite-(Ce)","Stetindite-(Ce)","Norway"
"Steudelite","Steudelite","Italy"
"Stevensite","Stevensite","USA"
"Steverustite","Steverustite","United Kingdom"
"Stewartite","Stewartite","USA"
"Stibarsen","Stibarsen","Sweden"
"Stibiconite","Stibiconite","Germany"
"Stibioclaudetite","Stibioclaudetite","Namibia"
"Stibiocolumbite","Stibiocolumbite","USA"
"Stibiocolusite","Stibiocolusite","Uzbekistan / Bulgaria"
"Stibiogoldfieldite","Stibiogoldfieldite","USA"
"Stibiopalladinite","Stibiopalladinite","South Africa"
"Stibiotantalite","Stibiotantalite","Australia"
"Stibioústalečite","Stibioustalecite","Czech Republic"
"Stibivanite","Stibivanite","Canada"
"Stibnite","Stibnite","unknown"
"Stichtite","Stichtite","Australia"
"Stilbite-Ca","Stilbite-Ca","Iceland / Germany / France / Norway"
"Stilbite-Na","Stilbite-Na","Italy"
"Stilleite","Stilleite","Democratic Republic of the Congo"
"Stillwaterite","Stillwaterite","USA"
"Stillwellite-(Ce)","Stillwellite-(Ce)","Australia"
"Stilpnomelane","Stilpnomelane","Poland / Czech Republic"
"Stishovite","Stishovite","USA"
"Stistaite","Stistaite","Uzbekistan"
"Stöfflerite","Stofflerite","Morocco (meteorite)"
"Stoiberite","Stoiberite","El Salvador"
"Stokesite","Stokesite","United Kingdom"
"Stolperite","Stolperite","Russia (meteorite)"
"Stolzite","Stolzite","Czech Republic / Germany"
"Stoppaniite","Stoppaniite","Italy"
"Stottite","Stottite","Namibia"
"Stracherite","Stracherite","Israel"
"Straczekite","Straczekite","USA"
"Strakhovite","Strakhovite","Russia"
"Stranskiite","Stranskiite","Namibia"
"Strashimirite","Strashimirite","Bulgaria"
"Straßmannite","Strassmannite","USA"
"Strätlingite","Stratlingite","Germany"
"Strelkinite","Strelkinite","Kazakhstan"
"Strengite","Strengite","Germany"
"Stringhamite","Stringhamite","USA"
"Stromeyerite","Stromeyerite","Czech Republic"
"Stronadelphite","Stronadelphite","Russia"
"Stronalsite","Stronalsite","Japan"
"Strontianite","Strontianite","United Kingdom"
"Strontioborite","Strontioborite","Kazakhstan"
"Strontiochevkinite","Strontiochevkinite","Paraguay"
"Strontiodresserite","Strontiodresserite","Canada"
"Strontiofluorite","Strontiofluorite","Russia"
"Strontioginorite","Strontioginorite","Germany"
"Strontiohurlbutite","Strontiohurlbutite","China"
"Strontiojoaquinite","Strontiojoaquinite","USA"
"Strontiomelane","Strontiomelane","Italy"
"Strontio-orthojoaquinite","Strontio-orthojoaquinite","Japan"
"Strontioperloffite","Strontioperloffite","Australia"
"Strontiopharmacosiderite","Strontiopharmacosiderite","Switzerland"
"Strontioruizite","Strontioruizite","South Africa"
"Strontiowhitlockite","Strontiowhitlockite","Russia"
"Strunzite","Strunzite","Germany"
"Struvite","Struvite","Germany"
"Struvite-(K)","Struvite-(K)","Switzerland / Austria"
"Studenitsite","Studenitsite","Serbia"
"Studtite","Studtite","Democratic Republic of the Congo"
"Stumpflite","Stumpflite","South Africa"
"Sturmanite","Sturmanite","South Africa"
"Stützite","Stutzite","Romania"
"Suanite","Suanite","North Korea"
"Sudburyite","Sudburyite","Canada"
"Sudoite","Sudoite","Germany"
"Sudovikovite","Sudovikovite","Russia"
"Suenoite","Suenoite","Italy"
"Suessite","Suessite","Australia (meteorite)"
"Sugakiite","Sugakiite","Japan"
"Sugilite","Sugilite","Japan"
"Suhailite","Suhailite","Spain"
"Sulfatoredmondite","Sulfatoredmondite","USA"
"Sulfhydrylbystrite","Sulfhydrylbystrite","Russia"
"Sulfoborite","Sulfoborite","Germany"
"Sulphohalite","Sulphohalite","USA"
"Sulphotsumoite","Sulphotsumoite","Russia"
"Sulphur","Sulphur","unknown"
"Sulvanite","Sulvanite","Australia"
"Sundiusite","Sundiusite","Sweden"
"Suolunite","Suolunite","China"
"Suredaite","Suredaite","Argentina"
"Surinamite","Surinamite","Suriname"
"Surite","Surite","Argentina"
"Sursassite","Sursassite","Switzerland"
"Susannite","Susannite","United Kingdom"
"Suseinargiuite","Suseinargiuite","Italy"
"Sussexite","Sussexite","USA"
"Suzukiite","Suzukiite","Japan"
"Svabite","Svabite","Sweden"
"Svanbergite","Svanbergite","Sweden"
"Sveinbergeite","Sveinbergeite","Norway"
"Sveite","Sveite","Venezuela"
"Švenekite","Svenekite","Czech Republic"
"Sverigeite","Sverigeite","Sweden"
"Svetlanaite","Svetlanaite","Russia"
"Svornostite","Svornostite","Czech Republic"
"Svyatoslavite","Svyatoslavite","Russia"
"Svyazhinite","Svyazhinite","Russia"
"Swaknoite","Swaknoite","Namibia"
"Swamboite-(Nd)","Swamboite-(Nd)","Democratic Republic of the Congo"
"Swartzite","Swartzite","USA"
"Swedenborgite","Swedenborgite","Sweden"
"Sweetite","Sweetite","United Kingdom"
"Swinefordite","Swinefordite","USA"
"Switzerite","Switzerite","USA"
"Sylvanite","Sylvanite","Romania"
"Sylvite","Sylvite","Italy"
"Symesite","Symesite","United Kingdom"
"Symplesite","Symplesite","Germany"
"Synadelphite","Synadelphite","Sweden"
"Synchysite-(Ce)","Synchysite-(Ce)","Denmark (Greenland)"
"Synchysite-(Nd)","Synchysite-(Nd)","Serbia"
"Synchysite-(Y)","Synchysite-(Y)","USA"
"Syngenite","Syngenite","Ukraine"
"Szaibélyite","Szaibelyite","Romania"
"Szenicsite","Szenicsite","Chile"
"Szklaryite","Szklaryite","Poland"
"Szmikite","Szmikite","Romania"
"Szomolnokite","Szomolnokite","Slovakia"
"Szymańskiite","Szymanskiite","USA"
"Tacharanite","Tacharanite","United Kingdom"
"Tachyhydrite","Tachyhydrite","Germany"
"Tadzhikite-(Ce)","Tadzhikite-(Ce)","Tajikistan"
"Taenite","Taenite","New Zealand ?"
"Taikanite","Taikanite","Russia"
"Taimyrite","Taimyrite","Russia"
"Tainiolite","Tainiolite","Denmark (Greenland)"
"Taipingite-(CeCa)","Taipingite-(CeCa)","China"
"Takanawaite-(Y)","Takanawaite-(Y)","Japan"
"Takanelite","Takanelite","Japan"
"Takedaite","Takedaite","Japan"
"Takéuchiite","Takeuchiite","Sweden"
"Takovite","Takovite","Serbia"
"Talc","Talc","unknown"
"Talmessite","Talmessite","Iran"
"Talnakhite","Talnakhite","Russia"
"Tamaite","Tamaite","Japan"
"Tamarugite","Tamarugite","Chile"
"Tamboite","Tamboite","Chile"
"Tamuraite","Tamuraite","Russia"
"Tancaite-(Ce)","Tancaite-(Ce)","Italy"
"Tancoite","Tancoite","Canada"
"Taneyamalite","Taneyamalite","Japan"
"Tangdanite","Tangdanite","China"
"Tangeite","Tangeite","Turkmenistan"
"Taniajacoite","Taniajacoite","South Africa"
"Tanohataite","Tanohataite","Japan"
"Tantalaeschynite-(Y)","Tantalaeschynite-(Y)","Brazil"
"Tantalcarbide","Tantalcarbide","Russia"
"Tantalite-(Fe)","Tantalite-(Fe)","USA"
"Tantalite-(Mg)","Tantalite-(Mg)","Russia"
"Tantalite-(Mn)","Tantalite-(Mn)","Sweden"
"Tantalowodginite","Tantalowodginite","USA"
"Tanteuxenite-(Y)","Tanteuxenite-(Y)","Australia"
"Tantite","Tantite","Russia"
"Tapiaite","Tapiaite","Chile"
"Tapiolite-(Fe)","Tapiolite-(Fe)","Finland"
"Tapiolite-(Mn)","Tapiolite-(Mn)","Finland"
"Taramellite","Taramellite","Italy"
"Taramite","Taramite","Norway"
"Taranakite","Taranakite","New Zealand"
"Tarapacáite","Tarapacaite","Chile"
"Tarbagataite","Tarbagataite","Kazakhstan"
"Tarbuttite","Tarbuttite","Zambia"
"Tarkianite","Tarkianite","Finland"
"Tartarosite","Tartarosite","Germany"
"Taseqite","Taseqite","Denmark (Greenland)"
"Tashelgite","Tashelgite","Russia"
"Tassieite","Tassieite","Antarctica"
"Tatarinovite","Tatarinovite","Russia"
"Tatarskite","Tatarskite","Russia"
"Tatyanaite","Tatyanaite","Russia"
"Tausonite","Tausonite","Russia"
"Tavagnascoite","Tavagnascoite","Italy"
"Tavorite","Tavorite","Brazil"
"Tazheranite","Tazheranite","Russia"
"Tazieffite","Tazieffite","Russia"
"Tazzoliite","Tazzoliite","Italy"
"Teallite","Teallite","Bolivia"
"Tedhadleyite","Tedhadleyite","USA"
"Teepleite","Teepleite","USA"
"Tegengrenite","Tegengrenite","Sweden"
"Teineite","Teineite","Japan"
"Telargpalite","Telargpalite","Russia"
"Tellurantimony","Tellurantimony","Canada"
"Tellurite","Tellurite","Romania"
"Tellurium","Tellurium","Romania"
"Tellurobismuthite","Tellurobismuthite","USA"
"Tellurohauchecornite","Tellurohauchecornite","Canada"
"Telluromandarinoite","Telluromandarinoite","Chile"
"Telluronevskite","Telluronevskite","Slovakia"
"Telluropalladinite","Telluropalladinite","USA"
